Mito,Mito-IMS,Mito-Matrix,Mito-MIM,Mito-MOM,OXPHOS,mtComplexI,PlasmaMembrane,Golgi,Lysosome,LysoTMs,ER,Endosome,EndoType,Cytoplasm,Nucleus,Autophagy,Autophagy_det,SynGO,Endo_iN_curated_Hundley,SynapseSVs,Presynaptic,Postsynaptic,EndoDetailed,EndoDetailLoac,NeuroDev,EndoLyso,EarlyEndosome,RecyclingEndosome,SVfusion,Svendocytosis,Svexocytosis
CCDC58,,DECR1,TMEM14C,,,,CALCRL,GORASP2,,,,PSEN1,early_endosome,,SIRT6,,,BLTP1,LDLR,RAB11B,RPL23,KIFAP3,BLOC1S2,Endosome,,LDLR,SYNRG,,,,
CCDC90B,,MRPS26,NDUFC1,,,,CALM1,GOSR1,,,,PTPN9,early_endosome,,MAPK7,,,BRAF,ITSN1,RAB14,RPL23A,KLHL17,BORCS7,Endosome,,ITSN1,TBCK,,,,
CDK5RAP1,,BPHL,NDUFA3,,,,CAP1,GOSR2,,,,PTPRJ,recycling_endosome,,CDKN2A,,,BRINP1,RAC1,RAB26,RPL24,KPNA1,ATP6V1G2,Endosome,,RAC1,TFRC,,,,
CEP89,,MSRB2,PDSS1,,,,CAP2,GPR89A,,,,PXK,early_endosome,,ZNF655,,,BRSK1,ATP2A2,RAB27B,RPL26,KPNA2,BORCS5,Endosome,,ATP2A2,TGFBRAP1,,,,
CHCHD1,,ACAD10,SLC25A16,,,,CASK,GPR89B,,,,Q59FF5[p],recycling_endosome,,ADPRS,,,BSN,ITGB1,RAB2A,RPL27,LAMA5,NAPG,Endosome,,ITGB1,TMEM106B,,,,
CHCHD10,,VWA8,NDUFAF6,,,,CASR,GSAP,,,,Q59FX6[p],early_endosome,,RPS3,,,BTBD8,STX6,RAB35,RPL27A,LAMP1,ATP6V1D,Endosome,,STX6,TMEM106C,,,,
CHCHD2,,ALKBH7,UCP1,,,,CATSPER1,HS2ST1,,,,RAB11B,recycling_endosome,,AURKAIP1,,,BTBD9,WASHC2A,RAB3A,RPL28,LASP1,RAB9B,Endosome,,WASHC2A,TMEM9,,,,
CHCHD3,,GLDC,SFXN1,,,,CATSPER2,HS3ST1,,,,RAB11FIP1,recycling_endosome,,WARS1,,,C1QA,HSPA5,RAB3B,RPL29,LATS1,TBC1D23,Endosome,,HSPA5,TPD52,,,,
CHCHD4,,SSBP1,PDP1,,,,CATSPER3,HS3ST2,,,,RAB11FIP2,recycling_endosome,,TMEM250,,,C1QB,CLTA,RAB3C,RPL32,LIMK1,SPG21,Endosome,,CLTA,TPD52L1,,,,
CHCHD5,,MRPL27,SLC25A21,,,,CATSPER4,HS3ST3A1,,,,RAB11FIP5,recycling_endosome,,UIMC1,,,C1QBP,PTPN23,RAB4A,RPL34,LNX1,NSF,Endosome,,PTPN23,TPD52L2,,,,
CHCHD6,,HSCB,SLC25A29,,,,CATSPERD,HS3ST3B1,,,,RAB14,early_endosome,,MED15,,,C1QC,SNX2,RAB4B,RPL35,LRFN2,AGTRAP,Endosome,,SNX2,TRIM14,,,,
CHCHD7,,MRPS10,SLC25A45,,,,CATSPERE,HS3ST4,,,,RAB21,early_endosome,,ERBIN,,,C1QL1,SNX12,RAB5A,RPL35A,LRP4,ATP6V0D1,Endosome,,SNX12,UBL4A,,,,
CHDH,,AK4,SLC25A39,,,,CATSPERZ,HS3ST5,,,,RAB31,early_endosome,,NIPBL,,,C1QL2,OCRL,RAB5B,RPL36,LZTS1,ATP6V0C,Endosome,,OCRL,VAC14,,,,
CHPT1,,MRPL37,NDUFB3,,,,CAV1,HS3ST6,,,,RAB32,recycling_endosome,,DNTT,,,C1QL3,RAB23,RAB5C,RPL36A,LZTS3,ATP6V0A1,Endosome,,RAB23,VAMP7,,,,
CISD1,,TXNRD2,TIMM10B,,,,CCKAR,IMPAD1,,,,RAB4A,early_endosome,,GADD45A,,,C9ORF72,YWHAQ,RAB7A,RPL37,MAP1B,RAB2A,Endosome,,YWHAQ,VAT1,,,,
CISD3,,ACSM5,CHDH,,,,CCKBR,JAKMIP2,,,,RAB4B,early_endosome,,MSL3,,,CABP1,STX16,RAC1,RPL37A,MAP2,NAPA,Endosome,,STX16,VPS13C,,,,
CKMT1A,,MRPL41,NDUFA4,,,,CCNYL1,JAKMIP3,,,,RAB5A,early_endosome,,CPSF7,,,CACNA1A,SEZ6L2,RAPGEF4,RPL38,MARK1,ATP6V0A2,Endosome,,SEZ6L2,VPS26A,,,,
CKMT1B,,MRPS6,NDUFA13,,,,CCR1,LARGE1,,,,RAB5B,early_endosome,,WBP2,,,CACNA1B,TMED10,RELN,RPL4,MARK2,AP3D1,Endosome,,TMED10,VPS26B,,,,
CKMT2,,MRPL23,TMEM11,,,,CCR10,LARGE2,,,,RAB5C,early_endosome,,HDAC10,,,CACNA1C,RAB11B,RIMBP2,RPL5,MDM2,VAMP4,Endosome,,RAB11B,VPS26C,,,,
CLPB,,MTHFD1L,NDUFAF7,,,,CCR2,LFNG,,,,RAB7A,early_endosome,,PIF1,,,CACNA1D,REEP5,RIMS1,RPL6,MIB2,ECE1,Endosome,,REEP5,VPS29,,,,
CLPP,,ECI2,COX7B,,,,CCR3,MAN1A1,,,,RAB8A,early_endosome,,L3MBTL2,,,CACNA1E,ITFG1,RIMS2,RPL7,MINK1,TBC1D5,Endosome,,ITFG1,VPS35,,,,
CLPX,,MCCC2,NDUFA11,,,,CCR4,MAN1A2,,,,RAB9A,early_endosome,,RPL36AL,,,CACNA1H,ARPC5,RPH3A,RPL7A,MOB4,AP2B1,Endosome,,ARPC5,VPS35L,,,,
CLYBL,,MCEE,RDH13,,,,CCR5,MAN1C1,,,,RABGEF1,early_endosome,,ARHGEF5,,,CACNA2D1,CAPZA1,SCAMP1,RPL8,MPP1,BECN1,Endosome,,CAPZA1,VPS45,,,,
CMC1,,MOCS1,COA3,,,,CCR6,MAN2A1,,,,RALGAPA1,recycling_endosome,,SREBF2,,,CACNA2D2,SYNRG,SCAMP5,RPL9,MRTFA,NAPB,Endosome,,SYNRG,VPS8,,,,
CMC2,,MMUT,MPV17L,,,,CCR7,MAN2A2,,,,RALGAPA2,recycling_endosome,,SCRN1,,,CACNA2D3,RUFY3,SCRIB,RPLP0,MRTFB,GAPDH,Endosome,,RUFY3,VTI1B,,,,
CMC4,,OXNAD1,TMEM65,,,,CCR8,MANEA,,,,RALGAPB,recycling_endosome,,STN1,,,CACNB1,CMTM6,SCRN1,RPLP2,MYO5A,NTRK3,Endosome,,CMTM6,WASH,,,,
CMPK2,,MTG2,ROMO1,,,,CCR9,MANEAL,,,,RBSN,early_endosome,,RNF34,,,CACNB2,RAB5C,SEC22B,RPS10,MYO5B,ATP6AP1,Endosome,,RAB5C,WASH3P,,,,
COA1,,DARS2,DNAJC15,,,,CCRL2,Mar-04,,,,RNF126,early_endosome,,CHD1,,,CACNB4,EXOC1,SEPTIN5,RPS11,MYO9A,AP1B1,Endosome,,EXOC1,WASHC2A,,,,
COA3,,MRPL51,HIGD1A,,,,CD109,Mar-09,,,,ROGDI,early_endosome,,FBXW7,,,CACNG2,SNX4,SGIP1,RPS12,NAE1,PLXNA2,Endosome,,SNX4,WASHC2C,,,,
COA4,,PC,SLC25A44,,,,CD151,MFNG,,,,RPS6KC1,early_endosome,,FMR1,,,CACNG3,USP7,SGTA,RPS13,NAPA,RAB1B,Endosome,,USP7,WASHC3,,,,
COA5,,CLYBL,OXA1L,,,,CD180,MGAT1,,,,RUFY1,early_endosome,,CCS,,,CACNG4,HMOX2,SH3GL2,RPS14,NAPB,M6PR,Endosome,,HMOX2,WASHC4,,,,
COA6,,MLYCD,ATP5MPL,,,,CD19,MGAT2,,,,RUFY2,early_endosome,,SMARCE1,,,CACNG5,GPRC5C,SLC10A4,RPS15A,NCAN,MON1B,Endosome,,GPRC5C,WASHC5,,,,
COA7,,MRPL32,COX6B2,,,,CD2,MGAT3,,,,RUSC1,early_endosome,,TPT1,,,CACNG7,VAC14,SLC17A5,RPS16,NCDN,SORT1,Endosome,,VAC14,WBP2,,,,
COA8,,FDX2,IMMP2L,,,,CD200,MGAT4A,,,,RUSC1,early_endosome,,ZNF35,,,CACNG8,RAB3C,SLC17A6,RPS24,NCKAP1,TM9SF3,Endosome,,RAB3C,WDR45B,,,,
COASY,,ME2,COX4I2,,,,CD22,MGAT4B,,,,SCAMP1,recycling_endosome,,MEOX2,,,CADM1,GRK5,SLC17A7,RPS26,NCKIPSD,PACS2,Endosome,,GRK5,WDR7,,,,
COMT,,TUFM,YME1L1,,,,CD226,MGAT4C,,,,SCAMP2,recycling_endosome,,C8orf17,,,CADM2,VPS45,SLC17A8,RPS27,NCS1,HYOU1,Endosome,,VPS45,WDR81,,,,
COMTD1,,DNLZ,COA8,,,,CD24,MGAT5,,,,SCAMP3,recycling_endosome,,NDUFAF6,,,CADM3,TGOLN2,SLC18A2,RPS27A,NECAB2,SURF4,Endosome,,TGOLN2,WDR91,,,,
COQ10A,,ACSM1,PPOX,,,,CD244,MGAT5B,,,,SCAMP4,recycling_endosome,,MT1G,,,CADM4,ANKH,SLC18A3,RPS28,NECTIN3,SCFD1,Endosome,,ANKH,WLS,,,,
COQ10B,,MRPS25,LDHD,,,,CD276,MMD2,,,,SEMA4C,recycling_endosome,,RARG,,,CADPS,CAPZB,SLC22A2,RPS5,NEDD4,AP3M1,Endosome,,CAPZB,YIPF2,,,,
COQ2,,ACOT13,IMMP1L,,,,CD300A,MPPE1,,,,SERINC1,early_endosome,,NCBP1,,,CADPS2,WASHC4,SLC2A4,RTN3,NEDD4L,CPD,Endosome,,WASHC4,ZFYVE16,,,,
COQ3,,DHRS4,COX18,,,,CD300C,NAGPA,,,,SERINC3,early_endosome,,DSG1,,,CALB1,GDI1,SLC30A3,RTN4R,NEDD8,SNX32,Endosome,,GDI1,ZFYVE21,,,,
COQ4,,CARS2,CPOX,,,,CD300E,NDST1,,,,SERPINF1,recycling_endosome,,PTEN,,,CALB2,VTI1A,SLC32A1,S1PR1,NEURL1,TAX1BP1,Endosome,,VTI1A,ZFYVE9,,,,
COQ5,,NIPSNAP2,NNT,,,,CD300LB,NDST2,,,,SFN,recycling_endosome,,PRSS23,,,CALCA,ARPC3,SLC4A8,S1PR2,NF1,CALR,Endosome,,ARPC3,,,,,
COQ6,,GLRX2,ATP5MF,,,,CD300LD,NDST3,,,,SGTA,early_endosome,,FSBP,,,CALCRL,VIM,SLC6A17,S1PR3,NGDN,RAB8B,Endosome,,VIM,,,,,
COQ7,,MRPS30,SFXN3,,,,CD300LF,NDST4,,,,SIRPA,recycling_endosome,,UBR5,,,CALD1,TM9SF2,SLC6A2,S1PR4,NGEF,TFRC,Endosome,,TM9SF2,,,,,
COQ8A,,HSD17B10,COX8C,,,,CD320,NECAB3,,,,SLC12A6,recycling_endosome,,RPS6KA4,,,CALM1,SEZ6L2,SLC6A7,S1PR5,NOS1AP,RPS14,Endosome,,SEZ6L2,,,,,
COQ8B,,NARS2,PXMP2,,,,CD3D,NUCB1,,,,SLC12A9,early_endosome,,ZBTB38,,,CALM2,PPP1CA,SLC6A9,SCRN1,NRCAM,RAB18,Endosome,,PPP1CA,,,,,
COQ9,,RPUSD3,APOO,,,,CD3E,NUCB2,,,,SLC1A1,recycling_endosome,,TJP3,,,CALM3,RAB24,SNAP25,SDCBP,NRG1,PPIB,Endosome,,RAB24,,,,,
COX10,,SARDH,ACAD11,,,,CD3G,OSBPL11,,,,SLC35F1,recycling_endosome,,PPP2CA,,,CALR,GNB1,SNAP29,SEMA7A,NRGN,IGF2R,Endosome,,GNB1,,,,,
COX11,,RIDA,TTC19,,,,CD44,OSBPL9,,,,SLC35F2,recycling_endosome,,ANXA7,,,CALY,PACC1,SNAP91,SEPTIN2,NRP1,SEC22B,Endosome,,PACC1,,,,,
COX14,,MRPL18,FAM162A,,,,CD46,PACS1,,,,SLCO4C1,recycling_endosome,,THRA,,,CAMK1,RPN1,SNAPIN,SEPTIN3,NRP2,AP1G1,Endosome,,RPN1,,,,,
COX15,,ALDH1B1,MT-CO1,,,,CD47,PAQR3,,,,SMAP2,early_endosome,,EIF2S2,,,CAMK2A,SNX8,SNCA,SEPTIN4,NRXN2,LMAN2,Endosome,,SNX8,,,,,
COX16,,TRNT1,SLC25A14,,,,CD48,PCSK7,,,,SMIM1,recycling_endosome,,ZBP1,,,CAMK2B,ATP1A1,SNCB,SEPTIN5,NSMF,AP1M1,Endosome,,ATP1A1,,,,,
COX17,,IDE,MCU,,,,CD5,POMGNT1,,,,SNAP29,early_endosome,,ANG,,,CAMK2D,GRB2,SNX9,SEPTIN6,NTRK2,DAGLB,Endosome,,GRB2,,,,,
COX18,,GSTK1,CYP27A1,,,,CD52,PRRC1,,,,SNN,early_endosome,,USP17L24,,,CAMK2G,SORL1,STON2,SEPTIN8,NUMB,HSP90B1,Endosome,,SORL1,,,,,
COX19,,VARS2,MT-ND2,,,,CD53,PXYLP1,,,,SNX1,early_endosome,,ANKLE1,,,CAMK4,RPLP0,STX12,SEPTIN9,NUMBL,PDIA3,Endosome,,RPLP0,,,,,
COX20,,HSPE1,MT-ND4,,,,CD55,QPCTL,,,,SNX12,early_endosome,,WEE1,,,CAMKV,SNX30,STX16,SGIP1,PAFAH1B1,PDIA3,Endosome,,SNX30,,,,,
COX4I1,,MRPL54,MT-ND5,,,,CD58,QSOX1,,,,SNX15,early_endosome,,MASTL,,,CANX,ARPC2,STX1A,SH3GL1,PAK1,LRP1,Endosome,,ARPC2,,,,,
COX4I2,,MRPL38,DELE1,,,,CD59,RER1,,,,SNX16,early_endosome,,CCND2,,,CAP1,DDOST,STX1B,SHH,PAK3,DNM2,Endosome,,DDOST,,,,,
COX5A,,MRPL58,HADHB,,,,CD70,RFNG,,,,SNX17,early_endosome,,CDK9,,,CAP2,TSG101,STX3,SHROOM4,PALM,STX5,Endosome,,TSG101,,,,,
COX5B,,PTCD3,CRLS1,,,,CD79A,RHBDD2,,,,SNX2,early_endosome,,RASSF2,,,CAPN1,SRC,STX6,SIPA1L2,PARN,HYOU1,Endosome,,SRC,,,,,
COX6A1,,MRM3,SLC25A32,,,,CD79B,RHOBTB3,,,,SNX27,early_endosome,,CDC27,,,CAPN2,ARPC4,STX7,SLC24A2,PCDH7,RUFY2,Endosome,,ARPC4,,,,,
COX6A2,,MRPL35,EXOG,,,,CD81,RND3,,,,SNX29,early_endosome,,PAX2,,,CAPRIN1,RTN4,STXBP1,SLC29A1,PDLIM5,EPB41L3,Endosome,,RTN4,,,,,
COX6B1,,FMC1,SFXN5,,,,CD82,RNF125,,,,SNX3,early_endosome,,CRY1,,,CAPZB,CLINT1,STXBP5,SLC2A4,PDXP,GOT1,Endosome,,CLINT1,,,,,
COX6B2,,ACSM3,UCP3,,,,CD84,RNF24,,,,SNX6,early_endosome,,DDB1,,,CARMIL3,FAM234B,STXBP5L,SLC9A6,PFN1,GAK,Endosome,,FAM234B,,,,,
COX6C,,GLRX5,SLC25A27,,,,CD86,RXYLT1,,,,SORL1,early_endosome,,H2BC9,,,CASK,VPS37B,SV2A,SLITRK1,PFN2,EHBP1,Endosome,,VPS37B,,,,,
COX7A1,,PTRH1,SLC25A40,,,,CD8B2,SDF4,,,,SPART,early_endosome,,H2AC6,,,CASKIN1,SCAMP3,SV2B,SLITRK2,PHACTR1,SCYL2,Endosome,,SCAMP3,,,,,
COX7A2,,MRPS11,SLC25A23,,,,CD9,SEC22B,,,,SPAST,early_endosome,,MED12,,,CASP3,RAP1B,SV2C,SLITRK3,PICALM,RPL7,Endosome,,RAP1B,,,,,
COX7A2L,,XPNPEP3,SLC25A36,,,,CD97,SGMS1,,,,SQSTM1,early_endosome,,RBPMS,,,CASR,CHMP7,SVOP,SNAPIN,PIK3C3,AP2A1,Endosome,,CHMP7,,,,,
COX7B,,ECI1,OMA1,,,,CD99,SGSM1,,,,STAM,early_endosome,,CUL5,,,CBLB,PLXNA1,SYN1,SNX9,PIN1,WDR7,Endosome,,PLXNA1,,,,,
COX7B2,,SDHAF3,LETM2,,,,CD99L2,SLC24A5,,,,STAM2,early_endosome,,SERTAD3,,,CBLN1,SEMA4C,SYN2,SPHK1,PLAT,EGFR,Endosome,,SEMA4C,,,,,
COX7C,,REXO2,DHRS1,,,,CDC42,SLC30A5,,,,STEAP3,recycling_endosome,,USP7,,,CBLN2,YWHAZ,SYN3,SPTBN2,PLK2,PRKAA1,Endosome,,YWHAZ,,,,,
COX8A,,GATM,SLC25A38,,,,CDC42SE2,SLC30A6,,,,STX12,recycling_endosome,,CLU,,,CBLN3,AP3S1,SYNGR1,SRCIN1,PLPPR4,IST1,Endosome,,AP3S1,,,,,
COX8C,,SARS2,MPV17L2,,,,CDH10,SLC30A7,,,,STX3,recycling_endosome,,PBX2,,,CBLN4,BAG2,SYNGR3,SRPK2,PPP1CA,AP2M1,Endosome,,BAG2,,,,,
CPOX,,MRPL57,MPST,,,,CDH11,SLC35A1,,,,STX7,recycling_endosome,,PBX1,,,CC2D1A,SCAMP1,SYNJ1,STON2,PPP1CC,SFT2D2,Endosome,,SCAMP1,,,,,
CPS1,,C8orf82,CKMT1A,,,,CDH12,SLC35A2,,,,STX8,early_endosome,,PSMA6,,,CCK,MYO5A,SYNJ2,STX3,PPP1R1B,PODXL,Endosome,,MYO5A,,,,,
CPT1A,,EARS2,PISD,,,,CDH13,SLC35A3,,,,STXBP5,early_endosome,,ATXN3,,,CD200,MICALL1,SYNPR,STXBP5,PPP1R9B,VAPB,Endosome,,MICALL1,,,,,
CPT1B,,GRHPR,NDUFB4,,,,CDH15,SLC35A4,,,,SYNRG,early_endosome,,PPP2R1A,,,CD2AP,LRRC59,SYP,SUMO2,PRAF2,RPL12,Endosome,,LRRC59,,,,,
CPT1C,,MTFMT,UQCR11,,,,CDH16,SLC35B2,,,,SYT1,recycling_endosome,,TOP2B,,,CD44,TPD52L2,SYPL1,SYNJ1,PRKACA,GNAI3,Endosome,,TPD52L2,,,,,
CPT2,,PTCD2,HTRA2,,,,CDH17,SLC35B3,,,,TBCK,early_endosome,,RPL6,,,CD47,RABEP1,SYT1,SYNJ2,PRKAR1B,P4HB,Endosome,,RABEP1,,,,,
CRAT,,HARS2,NDUFA1,,,,CDH18,SLC35B4,,,,TFRC,early_endosome,,CDK7,,,CDC42,SLC9A6,SYT11,SYT10,PRKAR2B,LNPEP,Endosome,,SLC9A6,,,,,
CRLS1,,NAXE,MT-CYB,,,,CDH19,SLC35C1,,,,TGFBRAP1,early_endosome,,NUDT5,,,CDH1,SNX6,SYT12,THY1,PRKN,POR,Endosome,,SNX6,,,,,
CROT,,SELENOO,NDUFAF2,,,,CDH2,SLC35D2,,,,TMEM106B,early_endosome,,TUB,,,CDH10,SYNGR2,SYT2,TLN2,PRMT8,DNAJB6,Endosome,,SYNGR2,,,,,
CRY1,,NAGS,ECSIT,,,,CDH20,SLC39A13,,,,TMEM106C,early_endosome,,CPSF6,,,CDH11,SLC7A1,SYT7,TNIK,PRR7,CLTC,Endosome,,SLC7A1,,,,,
CRYZ,,OAT,PARL,,,,CDH22,SLC9A8,,,,TMEM9,early_endosome,,BAG5,,,CDH13,GGA1,SYT9,TRPC5,PSD,RAC1,Endosome,,GGA1,,,,,
CS,,MRPL50,PAM16,,,,CDH23,SPATA16,,,,TPD52,early_endosome,,HIF1A,,,CDH2,GNAI2,TAFA4,UBA52,PSD2,ATP2A2,Endosome,,GNAI2,,,,,
CSKMT,,RARS2,MRS2,,,,CDH24,ST3GAL1,,,,TPD52L1,early_endosome,,FBXO5,,,CDH23,CANX,TBC1D24,UBE2M,PSD3,HSPA5,Endosome,,CANX,,,,,
CYB5B,,LACTB2,DNAJC30,,,,CDH26,ST3GAL2,,,,TPD52L2,early_endosome,,PTPN2,,,CDH6,SNX5,TMEM163,UNC13B,PSEN1,CLTA,Endosome,,SNX5,,,,,
CYB5R3,,AURKAIP1,ACOT9,,,,CDH3,ST3GAL3,,,,TRAPPC10,recycling_endosome,,EIF4A1,,,CDH8,VTA1,TMEM230,UNC13C,PSEN2,SNX12,Endosome,,VTA1,,,,,
CYC1,,SHMT2,ACSS1,,,,CDH4,ST3GAL4,,,,TRIM14,early_endosome,,FOXP1,,,CDH9,CHMP2B,TPRG1L,USP5,PTK2,RAB23,Endosome,,CHMP2B,,,,,
CYCS,,MTHFD2,CHPT1,,,,CDH5,ST3GAL5,,,,UBL4A,early_endosome,,HNRNPDL,,,CDK16,SDCBP,TRIM9,VAMP1,PTK2B,YWHAQ,Endosome,,SDCBP,,,,,
CYP11A1,,CPS1,MT-ATP8,,,,CDH6,ST3GAL6,,,,VAC14,early_endosome,,ZNF263,,,CDK5,SEC61A1,UBE3A,VPS16,PTN,STX16,Endosome,,SEC61A1,,,,,
CYP11B1,,MRPL14,TIMMDC1,,,,CDH7,ST6GAL1,,,,VAMP2,recycling_endosome,,AURKA,,,CDK5R1,RPN2,UNC13A,VPS18,PTPN1,SEZ6L2,Endosome,,RPN2,,,,,
CYP11B2,,MTRES1,MT-CO3,,,,CDH8,ST6GAL2,,,,VAMP3,recycling_endosome,,HIPK2,,,CDK5R2,SRPRB,UNC13B,VPS35,PTPRF,TMED10,Endosome,,SRPRB,,,,,
CYP24A1,,TRMT2B,TMEM143,,,,CDH9,ST6GALNAC1,,,,VAMP7,early_endosome,,POLR3A,,,CDKL5,CHMP6,UNC13C,VPS52,PUM2,REEP5,Endosome,,CHMP6,,,,,
CYP27A1,,MRPS24,NME4,,,,CDHR1,ST6GALNAC2,,,,VAMP8,recycling_endosome,,PDLIM4,,,CELSR3,SLC12A6,VAMP1,WNT3A,PURA,ITFG1,Endosome,,SLC12A6,,,,,
CYP27B1,,GSR,TIMM29,,,,CDHR2,ST6GALNAC3,,,,VAT1,early_endosome,,SERPINB9,,,CFL1,HSPA8,VAMP2,WNT7A,RAB17,ARPC5,Endosome,,HSPA8,,,,,
D2HGDH,,BCAT2,MICU2,,,,CDHR3,ST6GALNAC4,,,,VPS13C,early_endosome,,VPS4A,,,CHD4,TUBB,VAMP3,YWHAG,RAC1,CAPZA1,Endosome,,TUBB,,,,,
DAP3,,TEFM,SLC25A33,,,,CDHR5,ST6GALNAC5,,,,VPS26A,early_endosome,,ZNF750,,,CHMP2B,EHD4,VAMP4,YWHAH,RAC3,SYNRG,Endosome,,EHD4,,,,,
DARS2,,ACSF2,GOT2,,,,CDON,ST6GALNAC6,,,,VPS26B,early_endosome,,TRIM26,,,CHMP4B,STX4,VAMP7,,RAPGEF2,RUFY3,Endosome,,STX4,,,,,
DBI,,TRMU,NAXD,,,,CEACAM20,ST8SIA1,,,,VPS26C,early_endosome,,TMEM115,,,CHRM1,ARPC1A,VPS18,,RAPGEF4,EXOC1,Endosome,,ARPC1A,,,,,
DBT,,MRPS22,MT-ND3,,,,CEACAM5,ST8SIA2,,,,VPS29,early_endosome,,TP53BP1,,,CHRM2,NPTN,VPS29,,RASGRF1,USP7,Endosome,,NPTN,,,,,
DCAKD,,LAP3,PGS1,,,,CEACAM6,ST8SIA3,,,,VPS35,early_endosome,,IGFBP3,,,CHRM3,SCAMP2,VPS33B,,RASGRF2,HMOX2,Endosome,,SCAMP2,,,,,
DCXR,,GLUD1,SLC25A53,,,,CEACAM7,ST8SIA4,,,,VPS35L,early_endosome,,SF3A3,,,CHRM4,GRIPAP1,VPS35,,RBMX,GPRC5C,Endosome,,GRIPAP1,,,,,
DDX28,,HMGCL,AIFM3,,,,CEACAM8,ST8SIA5,,,,VPS45,early_endosome,,CHD3,,,CHRNA1,ACTR2,VPS45,,RELA,VAC14,Endosome,,ACTR2,,,,,
DECR1,,FHIT,CCDC51,,,,CELSR1,ST8SIA6,,,,VPS8,early_endosome,,NFIA,,,CHRNA10,ANKFY1,VTI1A,,RGS12,RAB3C,Endosome,,ANKFY1,,,,,
DELE1,,MRPS33,TMEM126B,,,,CELSR2,STMN4,,,,VTI1B,early_endosome,,POU4F2,,,CHRNA3,PDIA6,WDR7,,RGS14,GRK5,Endosome,,PDIA6,,,,,
DGLUCY,,NUBPL,FAM210B,,,,CELSR3,STX10,,,,WASH,early_endosome,,BPTF,,,CHRNA4,SERBP1,WFS1,,RGS7BP,VPS45,Endosome,,SERBP1,,,,,
DGUOK,,LYRM2,COX20,,,,CEMIP2,STX11,,,,WASH3P,early_endosome,,SMARCB1,,,CHRNA5,GNAS,WNT7A,,RHEB,TGOLN2,Endosome,,GNAS,,,,,
DHODH,,GADD45GIP1,PTPMT1,,,,CFAP65,STX6,,,,WASHC2A,early_endosome,,TERT,,,CHRNA6,VPS4A,AAK1,,RHOA,ANKH,Endosome,,VPS4A,,,,,
DHRS1,,TFAM,DNAJC19,,,,CFL1,SYN1,,,,WASHC2C,early_endosome,,NHERF1,,,CHRNA7,ATP1B3,ABHD17A,,RHOG,CAPZB,Endosome,,ATP1B3,,,,,
DHRS2,,ALDH18A1,COX7A2L,,,,CFL2,SYNDIG1L,,,,WASHC3,early_endosome,,PRMT5,,,CHRNA9,AP1AR,ABHD17B,,RMDN3,GDI1,Endosome,,AP1AR,,,,,
DHRS4,,OXSM,SFXN2,,,,CHRM1,SYS1,,,,WASHC4,early_endosome,,DUSP21,,,CHRNB1,YWHAG,ABHD17C,,RNF10,VTI1A,Endosome,,YWHAG,,,,,
DHRS7B,,KYAT3,TMEM177,,,,CHRM2,TANGO2,,,,WASHC5,early_endosome,,PDCD5,,,CHRNB2,EEF1A1,ABI1,,RNF138,ARPC3,Endosome,,EEF1A1,,,,,
DHTKD1,,TARS2,FDPS,,,,CHRM3,TBC1D14,,,,WBP2,early_endosome,,TFCP2,,,CHRNB3,SNAPIN,ABI2,,RNF19A,VIM,Endosome,,SNAPIN,,,,,
DHX30,,TBRG4,MCUB,,,,CHRM4,TBC1D23,,,,WDR44,recycling_endosome,,ITGB1BP1,,,CHRNB4,MYH9,ABI3,,RNF220,TM9SF2,Endosome,,MYH9,,,,,
DIABLO,,PRDX5,PET100,,,,CHRM5,TM9SF4,,,,WDR45B,early_endosome,,TCF7L2,,,CHRND,HSP90AB1,ABL2,,ROR2,SEZ6L2,Endosome,,HSP90AB1,,,,,
DLAT,,MAIP1,ATP5MC1,,,,CHRNA1,TMBIM4,,,,WDR7,early_endosome,,DRG1,,,CHRNE,SCRIB,ABLIM3,,RPL10,PPP1CA,Endosome,,SCRIB,,,,,
DLD,,CA5B,COQ8B,,,,CHRNA10,TMED1,,,,WDR81,early_endosome,,ASF1A,,,CHRNG,BIN1,ACTBL2,,RPL10A,RAB24,Endosome,,BIN1,,,,,
DLST,,COASY,ADCK2,,,,CHRNA2,TMED10,,,,WDR91,early_endosome,,TH,,,CLASP2,SLC3A2,ACTC1,,RPL11,GNB1,Endosome,,SLC3A2,,,,,
DMAC1,,CISD3,UCP2,,,,CHRNA3,TMED2,,,,WLS,early_endosome,,KDM4E,,,CLCN3,ITGA5,ACTN1,,RPL12,PACC1,Endosome,,ITGA5,,,,,
DMAC2,,GSTZ1,SLC25A37,,,,CHRNA4,TMED3,,,,YIPF2,early_endosome,,POLK,,,CLMP,S100A10,ACTR2,,RPL13,RPN1,Endosome,,S100A10,,,,,
DMAC2L,,GLOD4,SLC25A28,,,,CHRNA5,TMED5,,,,ZFYVE16,early_endosome,,RUVBL1,,,CLPTM1,PDCD6IP,ACTR3,,RPL13A,ATP1A1,Endosome,,PDCD6IP,,,,,
DMGDH,,PDF,SLC25A48,,,,CHRNA6,TMED7,,,,ZFYVE21,early_endosome,,PLAA,,,CLSTN1,YWHAB,ADAM10,,RPL14,GRB2,Endosome,,YWHAB,,,,,
DMPK,,AMT,SLC25A43,,,,CHRNA7,TMED9,,,,ZFYVE9,early_endosome,,FOXA2,,,CLSTN2,SNX27,ADD1,,RPL15,RPLP0,Endosome,,SNX27,,,,,
